scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sub_category_encoded,fund_size_cr_log,expense_ratio_log,cluster,is_top_performer
Franklin India Equity Advantage Fund,500,5000,1.37,2556.0,10,R Janakiraman,3.41,2.99,17.49,0.96,1.43,6,Franklin Templeton Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.9,27.7,9.2,21,7.846589975291186,0.8628899551470398,0,0
Franklin India Equity Hybrid Fund,500,5000,1.2,1347.0,10,Rajasa Kakulavarapu,3.24,3.49,12.1,0.8,1.51,6,Franklin Templeton Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11.0,0,7.206377291472252,0.7884573603642702,0,0
Franklin India Equity Savings Fund,500,5000,0.71,153.0,5,Rajasa Kakulavarapu,3.01,3.39,6.61,0.94,1.53,3,Franklin Templeton Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,14.0,8.9,12,5.0369526024136295,0.5364933705145685,1,0
Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,500,5000,0.72,2880.0,10,Sandeep Manam,0.95,1.855,23.08,0.86,0.5,6,Franklin Templeton Mutual Fund,0,Other,FoFs Overseas,-12.1,17.4,11.6,17,7.9658927350845286,0.5423242908253617,3,0
Franklin India Flexi Cap Fund,500,5000,1.1,9989.0,10,Anand Radhakrishnan,3.27,4.83,16.63,0.93,1.6,6,Franklin Templeton Mutual Fund,4,Equity,Flexi Cap Funds,3.8,31.1,12.0,14,9.2093398716426,0.7419373447293773,3,0
Franklin India Floating Rate Fund,500,1000,0.21,311.0,10,Pallab Roy,2.6,2.33,0.84,0.75,1.58,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2,15,5.7430031878094825,0.19062035960864973,2,0
Franklin India Focused Equity Fund,500,5000,1.16,8022.0,10,Ajay Argal,3.17,3.6,18.62,0.98,1.43,6,Franklin Templeton Mutual Fund,4,Equity,Focused Funds,5.1,30.9,12.9,18,8.990067695753655,0.7701082216960736,3,1
Franklin India G-Sec Fund,500,10000,0.57,121.0,10,Sachin Padwal Desai,0.04,-0.49,2.35,0.52,0.04,3,Franklin Templeton Mutual Fund,2,Debt,Gilt Mutual Funds,3.5,4.1,6.3,19,4.804021044733257,0.4510756193602166,2,0
Franklin India Liquid Fund,500,10000,0.13,1511.0,10,Pallab Roy,4.44,1.34,0.38,0.74,0.9,2,Franklin Templeton Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.4,23,7.321188556739478,0.12221763272424921,4,0
Franklin India Multi-Asset Solution Fund,500,5000,0.44,45.0,8,Rajasa Kakulavarapu,0.34,5.14,12.82,-0.01,0.39,4,Franklin Templeton Mutual Fund,1,Other,FoFs Domestic,4.1,8.7,5.3,16,3.828641396489095,0.3646431135879093,2,0
Franklin India NSE Nifty 50 Index Fund,500,5000,0.24,482.0,10,Varun Sharma,3.44,-0.79,16.58,0.99,1.3,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,25.6,11.6,20,6.180016653652572,0.2151113796169455,1,0
Franklin India Opportunities Fund,500,5000,1.79,657.0,10,R Janakiraman,3.45,4.7,16.65,0.92,1.58,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.9,31.0,11.5,33,6.489204931325317,1.0260415958332743,0,0
Franklin India Overnight Fund,500,5000,0.1,152.0,4,Pallab Roy,-0.89,0.49,0.35,0.41,-0.18,1,Franklin Templeton Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,8.9,31,5.030437921392435,0.09531017980432487,2,0
Franklin India Prima Fund,500,5000,1.06,7359.0,10,R Janakiraman,3.06,-4.16625,17.67,0.96,1.36,6,Franklin Templeton Mutual Fund,2,Equity,Mid Cap Mutual Funds,4.5,26.6,10.0,27,8.903815211722922,0.7227059828014898,3,0
Franklin India Savings Fund,500,10000,0.1,1084.0,10,Umesh Sharma,3.34,2.67,0.63,1.29,1.5,2,Franklin Templeton Mutual Fund,3,Debt,Money Market Funds,5.3,5.2,6.1,28,6.98933526597456,0.09531017980432487,4,0
Franklin India Smaller Companies Fund,500,5000,1.03,7308.0,10,R Janakiraman,3.36,7.03,17.83,0.81,1.91,6,Franklin Templeton Mutual Fund,2,Equity,Small Cap Mutual Funds,10.5,38.8,11.2,35,8.896861744480391,0.708035793053696,3,0
Franklin India Taxshield – Direct Growth,500,500,1.12,4584.0,10,R Janakiraman,3.21,2.88,16.91,0.95,1.49,6,Franklin Templeton Mutual Fund,3,Equity,ELSS Mutual Funds,4.9,29.3,11.4,11,8.430545384690566,0.7514160886839212,3,0
Franklin India Technology Fund,500,5000,1.22,712.0,10,Anand Radhakrishnan,1.91,3.66,19.22,0.73,1.24,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-11.9,29.9,15.9,33,6.569481420414296,0.7975071958841881,3,1
HDFC Arbitrage Fund,100,100,0.43,5886.0,9,Arun Agarwal,0.99,1.24,0.7,0.5,0.82,1,HDFC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.6,4.5,5.2,1,8.68050180902826,0.35767444427181594,2,0
HDFC Balanced Advantage Fund,100,100,0.88,51042.0,10,Gopal Agrawal,3.38,7.38,14.82,0.88,1.6,6,HDFC Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,14.4,29.3,12.9,9,10.840423693720814,0.6312717768418579,3,1
HDFC Banking and PSU Debt Fund,100,100,0.39,4805.0,9,Anil Bamboli,1.74,3.4,2.02,1.06,0.98,2,HDFC Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2,2,8.477620416296414,0.3293037471426004,2,0
HDFC Capital Builder Value Fund,100,100,1.04,5227.0,10,Gopal Agrawal,3.26,3.69,16.41,0.95,1.53,6,HDFC Mutual Fund,2,Equity,Value Funds,-0.7,33.7,11.3,37,8.561784074744113,0.712949807856125,3,0
HDFC Children’s Gift Fund,100,100,0.96,6157.0,10,Chirag Setalvad,4.11,7.62,11.58,0.76,1.87,6,HDFC Mutual Fund,0,Solution Oriented,Childrens Funds,10.5,26.8,12.9,3,8.725507328484445,0.6729444732424258,3,1
HDFC Corporate Bond Fund,100,100,0.32,23486.0,10,Anupam Joshi,1.59,1.91,2.19,0.94,0.99,3,HDFC Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.9,7.3,6,10.064202355576024,0.2776317365982795,2,0
HDFC Credit Risk Debt Fund,100,100,0.95,8437.0,9,Shobhit Mehrotra,1.5,2.63,2.56,-0.52,1.3,4,HDFC Mutual Fund,3,Debt,Credit Risk Funds,4.6,8.0,7.7,7,9.040500592684284,0.6678293725756554,2,0
HDFC Dynamic Debt Fund,100,100,0.49,527.0,10,Anil Bamboli,2.3,2.71,3.62,0.55,0.79,3,HDFC Mutual Fund,4,Debt,Dynamic Bond,4.6,7.3,6.1,10,6.269096283706261,0.3987761199573678,2,0
HDFC Dynamic PE Ratio Fund,100,100,0.22,30.0,10,Srinivasan Ramamurthy,4.11,6.38,9.63,0.6,1.8,5,HDFC Mutual Fund,4,Other,FoFs Domestic,8.6,21.9,11.1,16,3.4339872044851463,0.1988508587451652,1,0
HDFC Equity Savings Fund,100,100,1.1,2524.0,10,Anil Bamboli,3.67,4.42,7.09,0.98,1.61,4,HDFC Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,5.1,16.0,8.8,12,7.83399634170946,0.7419373447293773,0,0
HDFC Flexi Cap Fund,100,100,1.0,31672.0,10,Roshi Jain,3.4,5.15,18.4,1.0,1.56,6,HDFC Mutual Fund,4,Equity,Flexi Cap Funds,12.4,34.5,14.0,14,10.363219861917235,0.6931471805599453,3,1
HDFC Floating Rate Debt Fund,100,100,0.26,14785.0,10,Shobhit Mehrotra,3.33,3.39,1.24,0.9,1.76,3,HDFC Mutual Fund,4,Debt,Floater Mutual Funds,5.6,6.5,6.9,15,9.601436066117046,0.23111172096338664,4,0
HDFC Focused 30 Fund,100,100,0.54,3609.0,10,Roshi Jain,3.93,7.78,17.19,0.92,1.71,6,HDFC Mutual Fund,3,Equity,Focused Funds,16.0,35.8,11.9,18,8.191463051326927,0.43178241642553783,3,0
HDFC Gilt Fund,100,100,0.46,1739.0,10,Anil Bamboli,0.43,0.23,2.78,0.64,0.34,3,HDFC Mutual Fund,2,Debt,Gilt Mutual Funds,3.6,4.9,6.4,19,7.461640392208575,0.3784364357202451,2,0
HDFC Gold Fund,100,100,0.18,1402.0,10,Nirman Morakhia,1.03,-0.5,14.19,1.01,0.47,5,HDFC Mutual Fund,5,Other,FoFs Domestic,14.2,12.3,13.4,16,7.246368080102461,0.16551443847757338,1,1
HDFC Housing Opportunities Fund,100,100,1.28,1081.0,5,Rakesh Vyas,2.5,0.23,19.34,1.0,1.23,6,HDFC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,9.8,27.1,7.9,33,6.9865664594064265,0.8241754429663494,0,0
HDFC Hybrid Debt Fund,100,100,1.33,2695.0,10,Shobhit Mehrotra,3.46,3.73,4.97,0.69,1.74,4,HDFC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,6.0,13.3,8.4,4,7.899524472032198,0.8458682675776092,0,0
HDFC Hybrid Equity Fund,100,100,1.09,18729.0,10,Chirag Setalvad,3.42,4.86,13.03,0.87,1.6,6,HDFC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,7.7,25.6,11.3,0,9.837881795438134,0.7371640659767197,3,0
HDFC Income Fund,100,100,0.51,528.0,10,Shobhit Mehrotra,0.43,0.51,2.53,1.28,0.34,3,HDFC Mutual Fund,3,Debt,Medium to Long Duration Funds,3.8,5.2,6.1,26,6.270988431858299,0.412109650826833,2,0
HDFC Index Fund,100,100,0.2,4210.0,10,Nirman Morakhia,3.48,-0.64,16.76,1.0,1.31,6,HDFC Mutual Fund,4,Other,Index Funds,2.4,25.8,12.8,20,8.345455428161928,0.18232155679395465,3,1
HDFC Index Fund,100,100,0.2,7457.0,10,Nirman Morakhia,3.24,-1.01,17.02,1.01,1.28,6,HDFC Mutual Fund,3,Other,Index Funds,0.9,26.0,12.0,20,8.917042560738766,0.18232155679395465,3,0
HDFC Infrastructure Fund,100,100,1.75,593.0,10,Rakesh Vyas,3.12,2.65,23.69,0.88,1.3,6,HDFC Mutual Fund,1,Equity,Sectoral / Thematic Mutual Funds,16.5,34.3,5.3,33,6.386879319362645,1.0116009116784799,0,0
HDFC Large and Mid Cap Fund,100,100,1.03,7897.0,10,Gopal Agrawal,3.56,4.97,17.78,0.98,1.55,6,HDFC Mutual Fund,3,Equity,Large & Mid Cap Funds,6.3,33.3,12.8,21,8.974364841846596,0.708035793053696,3,1
HDFC Liquid Fund,300,5000,0.2,49008.0,10,Anupam Joshi,3.68,1.34,0.38,0.78,0.79,2,HDFC Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3,23,10.799759233696244,0.18232155679395465,4,0
HDFC Low Duration Fund,100,100,0.43,14779.0,10,Anupam Joshi,3.31,2.82,1.11,0.67,1.73,2,HDFC Mutual Fund,4,Debt,Low Duration Funds,5.4,6.2,6.7,24,9.601030194502194,0.35767444427181594,4,0
HDFC Medium Term Debt Fund,100,100,0.58,3538.0,10,Shobhit Mehrotra,1.34,2.14,2.33,0.78,1.01,4,HDFC Mutual Fund,3,Debt,Medium Duration Funds,4.1,6.9,7.4,25,8.171599480345463,0.4574248470388754,2,0
HDFC Mid-Cap Opportunities Fund,100,100,0.95,35009.0,10,Chirag Setalvad,3.64,2.45,16.86,0.93,1.77,6,HDFC Mutual Fund,3,Equity,Mid Cap Mutual Funds,11.9,34.2,13.1,27,10.463389013948712,0.6678293725756554,3,1
HDFC Money Market Fund,100,100,0.21,15176.0,10,Vikas Agrawal,4.85,3.08,0.69,1.33,1.89,3,HDFC Mutual Fund,3,Debt,Money Market Funds,5.6,5.6,6.3,28,9.627536402960045,0.19062035960864973,4,0
HDFC Multi-Asset Fund,100,100,0.88,1643.0,10,Srinivasan Ramamurthy,4.21,5.06,11.41,0.72,1.6,6,HDFC Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,6.9,23.0,10.9,29,7.404887575616125,0.6312717768418579,3,0
HDFC Overnight Fund,300,100,0.1,20146.0,10,Anil Bamboli,-0.53,0.53,0.35,0.42,-0.09,1,HDFC Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,4.6,31,9.91081067291591,0.09531017980432487,2,0
HDFC Retirement Savings Fund,100,100,0.78,2696.0,7,Srinivasan Ramamurthy,4.32,8.463750000000001,15.16,0.85,1.92,6,HDFC Mutual Fund,5,Solution Oriented,Retirement Funds,11.6,34.9,14.8,32,7.89989532313973,0.5766133643039938,3,1
HDFC Retirement Savings Fund,100,100,1.03,932.0,7,Srinivasan Ramamurthy,3.27,3.03,3.23,0.43,1.88,6,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,8.0,24.5,12.3,32,6.838405200847344,0.708035793053696,3,1
HDFC Retirement Savings Fund,100,100,1.0,140.0,7,Shobhit Mehrotra,4.39,6.37,11.43,0.73,1.74,4,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,6.0,10.3,7.8,32,4.948759890378168,0.6931471805599453,0,0
HDFC Short Term Debt Fund,100,100,0.29,11028.0,10,Anil Bamboli,2.33,4.24,1.87,1.45,1.23,3,HDFC Mutual Fund,3,Debt,Short Duration Funds,4.7,7.0,7.3,34,9.308283446306147,0.2546422183735807,4,0
HDFC Small Cap Fund,100,100,0.8,14648.0,10,Chirag Setalvad,3.75,6.54,19.61,0.91,1.88,6,HDFC Mutual Fund,3,Equity,Small Cap Mutual Funds,12.5,43.5,13.5,35,9.59212735272977,0.5877866649021191,3,1
HDFC Tax Saver Fund,500,500,1.15,9723.0,10,Roshi Jain,3.71,4.47,15.3,0.88,1.64,6,HDFC Mutual Fund,2,Equity,ELSS Mutual Funds,10.0,31.0,10.3,11,9.182352335436015,0.7654678421395714,3,0
HDFC Top 100 Fund,100,100,1.11,22139.0,10,Rahul Baijal,3.3,1.75,17.08,0.97,1.39,6,HDFC Mutual Fund,2,Equity,Large Cap Mutual Funds,6.6,28.6,11.9,22,10.005141206262628,0.7466879474879752,3,0
HDFC Ultra Short Term Fund,100,100,0.34,13303.0,5,Anil Bamboli,4.46,2.7,0.64,1.1,1.93,3,HDFC Mutual Fund,4,Debt,Ultra Short Duration Funds,5.4,5.5,8.9,36,9.495820020872763,0.29266961396282,4,0
HSBC Aggressive Hybrid Fund,500,5000,0.87,4636.0,10,Shriram Ramanathan,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.2,19.5,8.1,0,8.441822884391462,0.6259384308664953,0,0
HSBC Arbitrage Fund,500,5000,0.29,2344.0,9,Ritesh Jain,1.54,1.63,0.7,0.63,1.12,1,HSBC Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5,1,7.76004068088038,0.2546422183735807,2,0
HSBC Asia Pacific (Ex Japan) DYF – Direct Growth,500,5000,1.29,8.4,9,Sonal Gupta,0.87,1.855,17.08,0.86,0.48,6,HSBC Mutual Fund,0,Other,FoFs Overseas,-4.2,13.6,5.7,17,2.2407096892759584,0.8285518175661483,0,0
HSBC Balanced Advantage Fund,500,5000,0.78,1511.0,10,Ritesh Jain,2.95,0.89,7.21,0.45,1.27,4,HSBC Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.5,13.4,8.0,9,7.321188556739478,0.5766133643039938,4,0
HSBC Banking and PSU Debt Fund,500,5000,0.23,3779.0,10,Jalpan Shah,0.64,5.62,2.39,3.36,0.47,3,HSBC Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.2,6.0,6.5,2,8.237479288613633,0.20701416938432615,2,0
HSBC Business Cycles Fund,500,5000,1.42,535.0,9,Venugopal Manghat,3.13,2.69,17.41,0.97,1.46,6,HSBC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.0,28.0,8.7,33,6.284134161070802,0.883767540168595,0,0
HSBC Conservative Hybrid Fund,500,5000,1.34,122.0,10,Ritesh Jain,2.3,0.76,4.75,0.74,1.28,4,HSBC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.3,10.3,7.5,4,4.812184355372417,0.8501509293696101,0,0
HSBC Corporate Bond Fund,500,5000,0.35,157.0,2,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,2,HSBC Mutual Fund,2,Debt,Corporate Bond Mutual Funds,1.7,32.4,13.3,6,5.062595033026967,0.3001045924503381,2,1
HSBC Corporate Bond Fund,500,5000,0.29,6772.0,10,Shriram Ramanathan,0.67,1.19,3.55,1.68,0.47,3,HSBC Mutual Fund,1,Debt,Corporate Bond Mutual Funds,3.3,6.6,7.6,6,8.820699399214904,0.2546422183735807,2,0
HSBC Credit Risk Fund,500,5000,0.85,130.0,10,Shriram Ramanathan,0.33,-1.87,3.73,-2.39,0.35,4,HSBC Mutual Fund,3,Debt,Credit Risk Funds,4.8,5.7,5.1,7,4.875197323201151,0.6151856390902334,2,0
HSBC Dynamic Bond Fund,500,5000,0.29,200.0,10,Shriram Ramanathan,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,3,Debt,Dynamic Bond,4.7,5.4,6.8,10,5.303304908059076,0.2546422183735807,2,0
HSBC ELSS Fund,500,500,1.16,3007.0,10,Cheenu Gupta,2.8,-0.03,16.03,0.91,1.33,6,HSBC Mutual Fund,1,Equity,ELSS Mutual Funds,-1.2,24.1,8.0,11,8.00903068506973,0.7701082216960736,0,0
HSBC Equity Hybrid Fund,500,5000,1.0,474.0,4,Neelotpal Sahai,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3,0,6.163314804034641,0.6931471805599453,3,1
HSBC Equity Savings Fund,500,5000,0.62,150.0,10,Ritesh Jain,4.47,5.57,6.24,0.85,1.86,3,HSBC Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.9,15.5,7.5,12,5.017279836814924,0.4824261492442927,4,0
HSBC Flexi Cap Fund,500,5000,1.23,3097.0,10,Vihang Naik,2.92,0.36,16.25,0.94,1.38,6,HSBC Mutual Fund,2,Equity,Flexi Cap Funds,-1.2,26.4,9.2,14,8.038512020976814,0.8020015854720274,0,0
HSBC Flexi Debt Fund,500,5000,0.94,54.0,10,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,2,Debt,Dynamic Bond,1.7,32.4,13.3,10,4.007333185232471,0.6626879730752367,2,1
HSBC Gilt Fund,500,5000,0.48,231.0,10,Jalpan Shah,0.49,0.51,2.94,0.64,0.41,3,HSBC Mutual Fund,3,Debt,Gilt Mutual Funds,5.0,5.4,7.1,19,5.44673737166631,0.3920420877760237,2,0
HSBC Infrastructure Fund,500,5000,1.14,1476.0,10,Venugopal Manghat,3.69,8.463750000000001,16.32,0.6,1.78,6,HSBC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,11.3,33.6,9.3,33,7.29776828253138,0.76080582903376,0,0
HSBC Large & Mid Cap Fund,500,5000,1.08,1992.0,4,Neelotpal Sahai,3.02,1.39,15.85,0.91,1.4,6,HSBC Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.6,25.6,8.9,21,7.597396320212795,0.7323678937132266,0,0
HSBC Large Cap Fund,500,5000,1.26,1405.0,10,Neelotpal Sahai,2.6,-2.34,16.62,0.97,1.18,6,HSBC Mutual Fund,2,Equity,Large Cap Mutual Funds,0.0,23.3,10.6,22,7.2485040723706105,0.8153648132841945,0,0
HSBC Liquid Fund,500,5000,0.12,12043.0,10,Kapil Punjabi,4.42,1.38,0.38,0.77,0.91,2,HSBC Mutual Fund,3,Debt,Liquid Mutual Funds,5.7,4.3,5.3,23,9.396321889601625,0.11332868530700317,4,0
HSBC Low Duration Fund,500,5000,0.25,467.0,10,Shriram Ramanathan,0.63,0.3,2.32,-0.78,0.58,2,HSBC Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.8,24,6.148468295917647,0.22314355131420976,2,0
HSBC Managed Solutions Conservative Fund,500,5000,0.54,34.0,9,Gautam Bhupal,0.86,-1.07,4.45,0.49,0.55,3,HSBC Mutual Fund,2,Other,FoFs Domestic,3.2,6.7,5.9,16,3.5553480614894135,0.43178241642553783,2,0
HSBC Managed Solutions Growth Fund,500,5000,1.06,34.0,9,Gautam Bhupal,3.05,1.87,13.16,0.9,1.4,6,HSBC Mutual Fund,2,Other,FoFs Domestic,0.6,22.2,9.2,16,3.5553480614894135,0.7227059828014898,0,0
HSBC Managed Solutions Moderate Fund,500,5000,0.76,58.0,9,Gautam Bhupal,2.81,0.67,10.91,0.74,1.31,5,HSBC Mutual Fund,2,Other,FoFs Domestic,1.2,19.0,8.7,16,4.07753744390572,0.5653138090500605,1,0
HSBC Medium Duration Fund,500,5000,0.4,643.0,8,Shriram Ramanathan,0.84,1.93,2.78,0.67,0.76,3,HSBC Mutual Fund,3,Debt,Medium Duration Funds,4.2,7.0,6.7,25,6.467698726104354,0.33647223662121295,2,0
HSBC Medium to Long Duration Fund,500,5000,0.68,41.0,10,Jalpan Shah,0.11,-0.16,3.1,1.54,0.09,3,HSBC Mutual Fund,1,Debt,Medium to Long Duration Funds,2.7,4.5,6.5,26,3.7376696182833684,0.5187937934151675,2,0
HSBC Midcap Fund,500,5000,0.74,6980.0,10,Vihang Naik,3.33,-1.16,14.76,0.8,1.53,6,HSBC Mutual Fund,2,Equity,Mid Cap Mutual Funds,2.3,26.1,8.8,27,8.850947451970402,0.5538851132264376,3,0
HSBC Money Market Fund,500,5000,0.25,716.0,10,Shriram Ramanathan,2.45,2.43,0.61,1.31,1.12,2,HSBC Mutual Fund,1,Debt,Money Market Funds,5.2,4.9,6.0,28,6.57507584059962,0.22314355131420976,2,0
HSBC Overnight Fund,500,5000,0.1,2759.0,4,Kapil Punjabi,0.92,0.65,0.34,0.44,0.16,1,HSBC Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,8.9,31,7.9229859587111955,0.09531017980432487,2,0
HSBC Short Duration Fund,500,5000,0.27,3592.0,10,Shriram Ramanathan,1.18,4.85,1.72,2.63,0.78,2,HSBC Mutual Fund,2,Debt,Short Duration Funds,3.8,6.0,6.7,34,8.186742787113518,0.23901690047049992,2,0
HSBC Small Cap Fund,500,5000,0.77,8625.0,9,Venugopal Manghat,4.16,8.463750000000001,17.95,0.82,2.08,6,HSBC Mutual Fund,3,Equity,Small Cap Mutual Funds,5.1,44.7,12.7,35,9.062536177207788,0.5709795465857378,3,1
HSBC Tax Saver Equity Fund,500,5000,1.3,175.0,10,Gautam Bhupal,3.05,-1.65,16.52,0.96,1.26,6,HSBC Mutual Fund,2,Equity,ELSS Mutual Funds,-2.2,24.7,8.9,11,5.170483995038151,0.832909122935104,0,0
HSBC Ultra Short Duration Fund,500,5000,0.22,2279.0,3,Mahesh A Chhabria,3.5,2.48,0.54,1.17,1.69,2,HSBC Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.1,8.9,36,7.731930721948486,0.1988508587451652,4,0
HSBC Value Fund,500,5000,0.84,7781.0,10,Venugopal Manghat,3.18,6.92,17.01,0.96,1.69,6,HSBC Mutual Fund,3,Equity,Value Funds,6.8,33.0,11.6,37,8.9595686535445,0.6097655716208943,3,0
ICICI Pru All Seasons Bond Fund,100,5000,0.62,6754.0,10,Manish Banthia,2.39,2.84,2.25,0.98,1.38,3,ICICI Prudential Mutual Fund,5,Debt,Dynamic Bond,6.5,7.5,8.2,10,8.818038250394299,0.4824261492442927,4,0
ICICI Pru Asset Allocator Fund,1000,5000,0.18,18393.0,10,Dharmesh Kakkad,5.89,7.45,8.68,0.53,1.99,4,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,8.8,21.6,12.8,16,9.819779803462643,0.16551443847757338,4,1
ICICI Pru Balanced Advantage Fund,100,500,0.91,44515.0,10,Sankaran Naren,5.59,5.34,8.33,0.54,1.84,5,ICICI Prudential Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4,9,10.703603954093316,0.6471032420585384,3,0
ICICI Pru Banking & Financial Services – DirectGrowth,100,5000,1.1,5871.0,10,Roshan Chutkey,2.23,3.74,23.41,0.87,1.06,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,7.0,24.9,9.7,33,8.677950570294351,0.7419373447293773,3,0
ICICI Pru Banking & PSU Debt Fund,100,500,0.38,7265.0,10,Rahul Goswami,2.64,4.03,1.75,1.21,1.37,2,ICICI Prudential Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.8,6.9,7.2,2,8.890961212781146,0.3220834991691133,4,0
ICICI Pru BHARAT 22 FOF  – Direct Growth,1000,5000,0.08,89.0,5,Kayzad Eghlim,2.76,8.463750000000001,20.2,0.88,1.47,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,22.1,35.0,8.9,16,4.499809670330265,0.07696104113612832,1,0
ICICI Pru Bharat Consumption Fund,100,5000,1.54,1866.0,4,Sankaran Naren,3.37,4.95,11.73,0.6,1.6,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,10.2,22.7,8.9,33,7.532088143541722,0.9321640810304452,0,0
ICICI Pru Bluechip Fund,100,100,1.06,34198.0,10,Anish Tawakley,3.59,3.05,15.23,0.9,1.53,6,ICICI Prudential Mutual Fund,4,Equity,Large Cap Mutual Funds,4.4,28.2,12.3,22,10.439951682857124,0.7227059828014898,3,1
ICICI Pru Bond Fund,100,5000,0.6,2223.0,10,Manish Banthia,1.2,1.58,2.69,1.26,0.72,3,ICICI Prudential Mutual Fund,3,Debt,Medium to Long Duration Funds,5.2,6.9,7.3,26,7.707062655370473,0.4700036292457356,2,0
ICICI Pru Child Care Fund,100,5000,1.69,844.0,10,Manish Banthia,2.86,2.18,11.15,0.74,1.42,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Childrens Funds,1.0,19.8,8.8,3,6.739336627357174,0.9895411936137477,0,0
ICICI Pru Corporate Bond Fund,100,100,0.3,16998.0,10,Rahul Goswami,3.07,2.35,1.67,0.68,1.52,2,ICICI Prudential Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.8,7.0,7.3,6,9.74090979777877,0.262364264467491,4,0
ICICI Pru Credit Risk Fund,100,100,0.86,7584.0,10,Manish Banthia,3.18,3.97,1.59,0.42,2.15,4,ICICI Prudential Mutual Fund,4,Debt,Credit Risk Funds,5.8,8.0,8.1,7,8.933927891782632,0.6205764877251099,4,0
ICICI Pru Debt Management Fund,100,100,0.41,141.0,10,Manish Banthia,3.01,2.07,1.61,0.53,1.38,3,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,5.8,6.7,7.0,16,4.955827057601261,0.3435897043900769,2,0
ICICI Pru Dividend Yield Equity Fund,100,5000,0.66,1258.0,9,Mittul Kalawadia,5.06,8.463750000000001,15.42,0.83,1.94,6,ICICI Prudential Mutual Fund,0,Equity,Dividend Yield Funds,8.5,37.6,12.1,8,7.138073034044347,0.5068176023684519,3,0
ICICI Pru Equity & Debt Fund,100,5000,1.2,21232.0,10,Sankaran Naren,4.15,8.463750000000001,14.26,0.84,1.75,6,ICICI Prudential Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,6.8,30.6,14.3,0,9.963311854181793,0.7884573603642702,3,1
